Rank,   Word,Part of speech,Frequency,Dispersion
2,   be,v,12545825,0.97
8,   have,v,4303955,0.97
18,   do,v,2573587,0.95
19,   say,v,1915138,0.95
35,   go,v,1151045,0.93
37,   can,v,1022775,0.98
39,   get,v,992596,0.94
41,   would,v,925515,0.97
47,   know,v,892535,0.93
45,   make,v,857168,0.98
48,   will,v,824568,0.97
56,   think,v,772787,0.91
63,   take,v,670745,0.97
67,   see,v,663645,0.96
70,   come,v,628254,0.95
71,   could,v,617932,0.96
83,   want,v,514972,0.95
85,   look,v,491707,0.93
92,   use,v,420781,0.96
95,   find,v,395203,0.98
103,   tell,v,388155,0.94
98,   give,v,384503,0.98
119,   may,v,324569,0.95
117,   work,v,318210,0.98
121,   should,v,310265,0.98
122,   call,v,308050,0.97
127,   try,v,294023,0.96
131,   ask,v,284632,0.96
132,   need,v,276744,0.98
134,   feel,v,275214,0.95
139,   become,v,259102,0.97
154,   mean,v,242198,0.93
150,   leave,v,240482,0.96
159,   let,v,240300,0.93
151,   put,v,237480,0.96
156,   keep,v,231760,0.96
168,   talk,v,229429,0.92
170,   turn,v,221392,0.94
165,   seem,v,219627,0.97
164,   begin,v,218617,0.98
167,   help,v,216082,0.98
173,   start,v,213952,0.96
175,   might,v,209059,0.98
177,   show,v,208037,0.98
195,   hear,v,196070,0.93
200,   play,v,188328,0.96
202,   run,v,187325,0.96
217,   happen,v,182714,0.93
208,   like,v,182341,0.95
207,   move,v,179388,0.97
213,   believe,v,178397,0.96
214,   hold,v,177368,0.97
210,   live,v,176144,0.98
216,   bring,v,174366,0.98
224,   must,v,171043,0.96
229,   write,v,161824,0.98
263,   provide,v,150879,0.91
269,   sit,v,147185,0.92
282,   stand,v,140937,0.92
284,   lose,v,134102,0.97
293,   include,v,133563,0.93
287,   pay,v,133133,0.96
289,   meet,v,128737,0.98
295,   set,v,127369,0.97
294,   continue,v,126029,0.98
324,   watch,v,124976,0.94
305,   learn,v,124346,0.97
307,   change,v,123183,0.98
319,   lead,v,122691,0.97
330,   stop,v,121481,0.94
321,   understand,v,121354,0.97
326,   follow,v,119425,0.97
333,   create,v,119419,0.95
341,   add,v,117842,0.94
336,   speak,v,117358,0.96
340,   allow,v,114892,0.97
343,   spend,v,114569,0.97
338,   read,v,114094,0.97
359,   walk,v,113787,0.92
356,   open,v,111857,0.94
362,   win,v,111478,0.93
354,   grow,v,110020,0.97
380,   remember,v,106879,0.94
374,   offer,v,106473,0.96
391,   love,v,103681,0.95
401,   wait,v,102463,0.93
395,   consider,v,101987,0.96
398,   buy,v,101105,0.95
396,   appear,v,100671,0.97
402,   serve,v,99660,0.95
404,   die,v,98376,0.96
410,   stay,v,96933,0.96
411,   fall,v,96908,0.95
409,   build,v,96651,0.96
405,   send,v,96613,0.97
415,   cut,v,96012,0.95
406,   expect,v,95566,0.98
425,   kill,v,92660,0.95
431,   suggest,v,92643,0.93
423,   reach,v,92375,0.96
427,   remain,v,91319,0.96
447,   require,v,89280,0.93
498,   thank,v,88574,0.86
451,   report,v,88138,0.93
444,   sell,v,87865,0.95
472,   pull,v,87243,0.91
434,   raise,v,87036,0.98
442,   pass,v,86184,0.97
485,   develop,v,84835,0.92
457,   decide,v,84035,0.97
473,   return,v,81812,0.97
483,   hope,v,81385,0.96
481,   explain,v,80797,0.97
506,   join,v,80609,0.93
491,   drive,v,80476,0.96
499,   receive,v,80250,0.95
488,   carry,v,79513,0.97
495,   break,v,79310,0.97
519,   wear,v,77921,0.94
518,   pick,v,77197,0.95
515,   agree,v,76753,0.96
525,   support,v,76544,0.94
537,   base,v,75887,0.93
543,   produce,v,74169,0.94
536,   hit,v,73999,0.95
544,   eat,v,73505,0.95
534,   end,v,73099,0.97
546,   teach,v,72668,0.95
569,   describe,v,71377,0.93
554,   face,v,69493,0.98
561,   cover,v,69387,0.97
587,   catch,v,68214,0.94
593,   draw,v,65198,0.97
610,   listen,v,64984,0.94
602,   cause,v,64531,0.97
601,   choose,v,64348,0.97
605,   point,v,62980,0.98
621,   realize,v,61732,0.97
632,   place,v,60927,0.96
650,   close,v,60884,0.93
660,   increase,v,60442,0.93
657,   involve,v,59542,0.94
688,   represent,v,58744,0.92
668,   seek,v,58495,0.94
678,   throw,v,57784,0.95
675,   deal,v,57462,0.96
689,   focus,v,57177,0.94
702,   reduce,v,57029,0.93
704,   note,v,57025,0.93
687,   fill,v,56915,0.95
677,   fight,v,56886,0.96
691,   drop,v,56448,0.95
696,   push,v,56103,0.95
692,   plan,v,55829,0.96
710,   enter,v,54479,0.96
711,   share,v,54010,0.97
728,   rise,v,53542,0.95
771,   identify,v,53484,0.9
786,   indicate,v,53215,0.89
733,   shoot,v,53038,0.95
757,   occur,v,52768,0.93
774,   determine,v,52130,0.92
735,   save,v,52067,0.97
752,   lie,v,51657,0.95
779,   argue,v,51013,0.94
791,   wonder,v,50875,0.93
750,   protect,v,50649,0.97
785,   recognize,v,50042,0.95
767,   accept,v,49952,0.97
820,   present,v,49659,0.92
805,   lay,v,49358,0.94
775,   prepare,v,49208,0.98
864,   laugh,v,48567,0.89
834,   compare,v,48094,0.93
865,   guess,v,48046,0.9
846,   state,v,47977,0.93
824,   answer,v,47661,0.95
811,   fail,v,47503,0.97
813,   arrive,v,47435,0.97
816,   name,v,47375,0.97
850,   discuss,v,46852,0.94
870,   hang,v,46632,0.92
836,   miss,v,46525,0.96
873,   design,v,45946,0.94
899,   establish,v,45921,0.91
857,   check,v,45760,0.95
840,   act,v,45648,0.98
875,   forget,v,45571,0.94
883,   sound,v,45311,0.94
945,   shake,v,45160,0.87
852,   force,v,44931,0.97
868,   study,v,44897,0.96
879,   remove,v,44683,0.96
889,   form,v,44646,0.95
869,   prove,v,44304,0.97
877,   claim,v,44259,0.97
884,   enjoy,v,44020,0.97
925,   maintain,v,43493,0.93
912,   imagine,v,43487,0.95
918,   finish,v,43143,0.95
910,   care,v,42978,0.96
908,   visit,v,42941,0.96
911,   avoid,v,42890,0.96
930,   reveal,v,42605,0.94
935,   contain,v,42542,0.94
941,   apply,v,42391,0.93
923,   respond,v,42139,0.96
938,   control,v,41771,0.95
955,   perform,v,41667,0.94
937,   head,v,41658,0.95
966,   affect,v,41496,0.93
1072,   smile,v,41473,0.85
946,   fly,v,41373,0.95
1007,   reflect,v,40687,0.92
948,   manage,v,40536,0.97
959,   discover,v,40489,0.97
963,   treat,v,40264,0.97
998,   improve,v,40214,0.94
973,   worry,v,40210,0.96
975,   mention,v,39815,0.97
1031,   address,v,39774,0.92
1002,   sign,v,39418,0.95
1037,   step,v,39356,0.93
1019,   exist,v,39341,0.94
1134,   stare,v,39266,0.83
1084,   relate,v,39143,0.89
1048,   notice,v,38910,0.92
1033,   test,v,38644,0.95
1016,   sing,v,38575,0.96
1043,   tend,v,38295,0.94
1040,   beat,v,38268,0.95
1059,   wish,v,37532,0.95
1087,   prevent,v,36421,0.95
1081,   figure,v,36137,0.96
1095,   assume,v,35960,0.95
1169,   examine,v,35826,0.89
1085,   travel,v,35746,0.97
1092,   born,v,35352,0.97
1174,   vote,v,35224,0.9
1155,   achieve,v,35166,0.92
1093,   admit,v,35143,0.97
1120,   publish,v,35062,0.95
1121,   cost,v,34941,0.95
1166,   conduct,v,34909,0.91
1176,   sleep,v,34801,0.91
1170,   touch,v,34737,0.92
1103,   suffer,v,34675,0.97
1125,   own,v,34577,0.95
1143,   hurt,v,34445,0.94
1132,   recall,v,34442,0.95
1159,   refer,v,34317,0.94
1124,   release,v,34301,0.96
1185,   experience,v,34009,0.92
1214,   define,v,33958,0.9
1172,   attend,v,33380,0.95
1188,   encourage,v,33348,0.94
1167,   announce,v,33305,0.96
1148,   strike,v,33238,0.97
1211,   complete,v,32813,0.93
1186,   replace,v,32688,0.96
1213,   stick,v,32259,0.94
1238,   drink,v,32078,0.93
1255,   roll,v,31592,0.93
1230,   introduce,v,31345,0.96
1261,   hide,v,31098,0.94
1279,   express,v,30947,0.93
1301,   observe,v,30737,0.92
1259,   gain,v,30667,0.95
1243,   handle,v,30634,0.97
1290,   ride,v,30476,0.94
1361,   associate,v,30406,0.88
1253,   refuse,v,30173,0.98
1319,   contribute,v,30090,0.92
1358,   cry,v,29690,0.9
1335,   promote,v,29679,0.92
1312,   earn,v,29560,0.94
1365,   result,v,29515,0.9
1307,   emerge,v,29496,0.95
1350,   lift,v,29354,0.92
1316,   operate,v,29345,0.95
1386,   demonstrate,v,29170,0.9
1295,   deliver,v,29169,0.97
1325,   collect,v,28946,0.95
1355,   limit,v,28901,0.93
1338,   count,v,28836,0.95
1323,   settle,v,28827,0.96
1340,   marry,v,28722,0.95
1384,   measure,v,28612,0.91
1353,   jump,v,28504,0.94
1324,   feed,v,28494,0.97
1394,   engage,v,28194,0.92
1347,   order,v,27950,0.97
1356,   fit,v,27875,0.96
1426,   cook,v,27725,0.91
1349,   survive,v,27682,0.98
1354,   gather,v,27659,0.97
1398,   cross,v,27524,0.94
1374,   approach,v,27449,0.96
1565,   nod,v,27283,0.82
1378,   spread,v,27266,0.96
1431,   view,v,27258,0.92
1421,   blow,v,27254,0.94
1366,   insist,v,27205,0.97
1382,   ignore,v,27023,0.97
1486,   grab,v,26951,0.89
1402,   commit,v,26943,0.96
1530,   lean,v,26896,0.86
1413,   deny,v,26675,0.96
1443,   dress,v,26669,0.93
1429,   burn,v,26646,0.95
1401,   threaten,v,26587,0.97
1455,   combine,v,26570,0.93
1491,   participate,v,26500,0.91
1428,   charge,v,26432,0.96
1425,   destroy,v,26177,0.97
1452,   extend,v,25969,0.95
1444,   promise,v,25720,0.97
1466,   remind,v,25525,0.96
1483,   depend,v,25405,0.95
1477,   fire,v,25390,0.96
1555,   welcome,v,25241,0.9
1461,   demand,v,25207,0.97
1500,   hire,v,25073,0.95
1535,   hate,v,24921,0.93
1550,   shut,v,24773,0.92
1538,   press,v,24716,0.93
1604,   obtain,v,24538,0.89
1510,   tie,v,24408,0.97
1575,   climb,v,24367,0.92
1566,   paint,v,24038,0.93
1525,   train,v,23990,0.97
1545,   attack,v,23971,0.95
1603,   explore,v,23744,0.92
1544,   intend,v,23554,0.97
1581,   expand,v,23417,0.94
1587,   disappear,v,23389,0.94
1569,   direct,v,23298,0.96
1622,   predict,v,22942,0.94
1641,   adopt,v,22880,0.93
1644,   attempt,v,22758,0.93
1611,   repeat,v,22622,0.96
1608,   surround,v,22391,0.97
1659,   organize,v,22389,0.94
1680,   conclude,v,22247,0.93
1704,   generate,v,22213,0.92
1628,   bear,v,22190,0.97
1610,   invite,v,22158,0.98
1645,   connect,v,22100,0.96
1664,   acknowledge,v,21983,0.95
1668,   record,v,21939,0.95
1648,   belong,v,21856,0.97
1693,   locate,v,21843,0.94
1699,   recommend,v,21707,0.94
1706,   propose,v,21691,0.94
1740,   feature,v,21678,0.92
1746,   select,v,21617,0.92
1767,   ought,v,21552,0.91
1806,   influence,v,21448,0.89
1679,   struggle,v,21370,0.97
1768,   ensure,v,21341,0.92
1743,   link,v,21335,0.94
1670,   fear,v,21333,0.98
1778,   wake,v,21330,0.91
1690,   shift,v,21323,0.96
1692,   mark,v,21236,0.97
1800,   slip,v,21233,0.91
1687,   last,v,21219,0.97
1727,   capture,v,21018,0.96
1728,   prefer,v,20946,0.96
1733,   search,v,20943,0.96
1751,   appreciate,v,20806,0.95
1756,   launch,v,20767,0.95
1773,   mix,v,20642,0.95
1749,   declare,v,20550,0.97
1763,   matter,v,20534,0.96
1762,   defend,v,20510,0.96
1779,   challenge,v,20510,0.95
1811,   estimate,v,20474,0.93
1857,   score,v,20391,0.91
1764,   judge,v,20320,0.97
1798,   steal,v,20296,0.95
1912,   stir,v,20174,0.89
1799,   pursue,v,20136,0.96
1816,   investigate,v,20117,0.94
1829,   kick,v,20092,0.94
1878,   range,v,20067,0.92
1786,   warn,v,19996,0.97
1810,   blame,v,19798,0.96
1852,   eliminate,v,19773,0.94
1872,   rely,v,19614,0.94
1839,   solve,v,19501,0.96
1855,   trust,v,19482,0.95
1895,   file,v,19416,0.94
1923,   account,v,19403,0.92
1865,   fix,v,19349,0.96
1864,   confirm,v,19327,0.96
1875,   issue,v,19300,0.95
1911,   pour,v,19300,0.93
2059,   assess,v,19220,0.86
1877,   back,v,19213,0.96
1881,   attract,v,19197,0.96
1874,   complain,v,19102,0.97
1860,   afford,v,19035,0.97
1929,   stretch,v,19014,0.93
1907,   clear,v,19013,0.95
1946,   cite,v,19011,0.93
2003,   emphasize,v,18933,0.9
1935,   rest,v,18915,0.94
1976,   employ,v,18912,0.91
1914,   clean,v,18766,0.96
1921,   grant,v,18598,0.96
1970,   rush,v,18561,0.93
1959,   oppose,v,18484,0.94
1956,   divide,v,18337,0.95
1978,   dance,v,18263,0.94
1938,   separate,v,18251,0.97
2042,   hand,v,18231,0.92
1990,   lack,v,18215,0.94
1945,   aim,v,18194,0.97
2015,   invest,v,18080,0.94
2014,   decline,v,18058,0.94
1964,   question,v,17924,0.97
1986,   match,v,17788,0.97
2041,   accuse,v,17778,0.94
2046,   reject,v,17656,0.94
2019,   expose,v,17581,0.96
2079,   acquire,v,17435,0.93
2035,   succeed,v,17423,0.96
2037,   celebrate,v,17421,0.96
2044,   land,v,17401,0.96
2083,   mind,v,17378,0.93
2136,   scream,v,17342,0.9
2070,   approve,v,17329,0.95
2080,   compete,v,17264,0.94
2173,   shout,v,17239,0.88
2068,   lower,v,17206,0.95
2051,   escape,v,17195,0.97
2184,   perceive,v,17180,0.88
2052,   cast,v,17163,0.97
2105,   knock,v,17146,0.93
2107,   wrap,v,17073,0.93
2095,   list,v,17006,0.94
2056,   convince,v,16948,0.98
2106,   review,v,16916,0.94
2101,   regard,v,16890,0.94
2110,   display,v,16806,0.94
2193,   slide,v,16805,0.89
2127,   permit,v,16764,0.93
2146,   drag,v,16685,0.93
2210,   consist,v,16648,0.89
2180,   suppose,v,16562,0.91
2162,   wash,v,16314,0.93
2239,   reply,v,16312,0.89
2212,   enable,v,16293,0.91
2213,   bend,v,16285,0.91
2159,   arrest,v,16205,0.94
2118,   suspect,v,16194,0.97
2324,   kiss,v,16128,0.87
2305,   implement,v,16124,0.88
2168,   purchase,v,16064,0.94
2439,   glance,v,16008,0.82
2217,   shall,v,15997,0.92
2347,   coach,v,15910,0.87
2209,   bother,v,15870,0.94
2205,   transform,v,15815,0.94
2284,   breathe,v,15813,0.91
2150,   recover,v,15786,0.98
2360,   evaluate,v,15780,0.87
2196,   inform,v,15725,0.95
2274,   interview,v,15687,0.92
2192,   slow,v,15633,0.96
2242,   lock,v,15616,0.93
2336,   analyze,v,15587,0.89
2248,   tear,v,15575,0.93
2229,   preserve,v,15527,0.95
2254,   benefit,v,15424,0.94
2276,   quote,v,15415,0.93
2351,   enhance,v,15393,0.9
2467,   whisper,v,15383,0.84
2270,   contact,v,15359,0.94
2285,   elect,v,15350,0.93
2201,   abandon,v,15323,0.97
2226,   rule,v,15310,0.96
2262,   resolve,v,15260,0.95
2236,   arrange,v,15258,0.96
2250,   pose,v,15230,0.95
2412,   smell,v,15214,0.88
2293,   pack,v,15169,0.94
2368,   illustrate,v,15091,0.91
2321,   retire,v,14979,0.93
2391,   vary,v,14954,0.9
2244,   deserve,v,14944,0.97
2281,   urge,v,14894,0.96
2353,   impose,v,14881,0.93
2319,   inspire,v,14771,0.95
2332,   dominate,v,14768,0.94
2348,   exercise,v,14766,0.94
2397,   ring,v,14757,0.91
2417,   light,v,14720,0.91
