Rank,   Word,Part of speech,Frequency,Dispersion
2335,   transfer,v,14686,0.95
2363,   trade,v,14624,0.94
2418,   toss,v,14565,0.92
2320,   adjust,v,14564,0.96
2338,   attach,v,14552,0.95
2370,   monitor,v,14499,0.94
2366,   accomplish,v,14325,0.96
2477,   swing,v,14317,0.9
2499,   construct,v,14234,0.89
2409,   race,v,14233,0.94
2379,   concentrate,v,14155,0.96
2420,   bury,v,14030,0.95
2421,   pray,v,14006,0.95
2449,   shape,v,13859,0.94
2437,   confront,v,13757,0.96
2497,   assist,v,13748,0.93
2428,   block,v,13688,0.97
2460,   accompany,v,13666,0.95
2484,   dig,v,13633,0.94
2528,   install,v,13584,0.92
2641,   wave,v,13567,0.87
2487,   plant,v,13526,0.95
2513,   smoke,v,13438,0.94
2496,   supply,v,13399,0.95
2504,   line,v,13373,0.95
2620,   snap,v,13362,0.9
2603,   arise,v,13351,0.91
2493,   resist,v,13330,0.96
2623,   incorporate,v,13310,0.9
2523,   favor,v,13235,0.95
2506,   date,v,13231,0.96
2495,   embrace,v,13183,0.97
2511,   secure,v,13181,0.96
2651,   yell,v,13131,0.9
2568,   pop,v,13123,0.93
2519,   bind,v,13109,0.96
2527,   weigh,v,13051,0.96
2546,   quit,v,13045,0.95
2565,   negotiate,v,13043,0.94
2552,   comment,v,12930,0.96
2584,   criticize,v,12906,0.94
2616,   dream,v,12887,0.93
2609,   schedule,v,12881,0.94
2636,   assign,v,12836,0.93
2566,   restore,v,12814,0.96
2575,   advise,v,12709,0.96
2666,   spin,v,12673,0.92
2675,   yield,v,12634,0.92
2801,   pause,v,12583,0.87
2594,   assure,v,12542,0.97
2626,   switch,v,12508,0.95
2631,   graduate,v,12480,0.95
2737,   wipe,v,12435,0.91
2663,   sweep,v,12431,0.94
2696,   taste,v,12397,0.93
2687,   found,v,12376,0.93
2783,   interpret,v,12321,0.89
2701,   disagree,v,12280,0.93
2667,   house,v,12268,0.95
2830,   bake,v,12253,0.88
2695,   communicate,v,12179,0.95
2722,   bet,v,12079,0.94
2819,   imply,v,12061,0.9
2706,   advance,v,12056,0.95
2686,   wind,v,12054,0.96
2748,   retain,v,12041,0.93
2736,   encounter,v,11974,0.94
2912,   constitute,v,11945,0.87
2771,   process,v,11940,0.92
2689,   react,v,11874,0.97
2816,   testify,v,11843,0.91
2720,   proceed,v,11808,0.96
2730,   overcome,v,11801,0.96
2907,   characterize,v,11799,0.88
2787,   detect,v,11776,0.93
2721,   track,v,11773,0.96
2732,   occupy,v,11756,0.96
2753,   translate,v,11722,0.95
2897,   rub,v,11695,0.89
2742,   honor,v,11653,0.96
2795,   market,v,11650,0.94
2831,   freeze,v,11596,0.93
2834,   sink,v,11592,0.93
2788,   balance,v,11536,0.95
2872,   tire,v,11494,0.92
2864,   possess,v,11474,0.93
2845,   evolve,v,11442,0.93
2798,   guarantee,v,11430,0.96
2857,   justify,v,11409,0.93
2903,   fade,v,11373,0.92
2793,   flow,v,11365,0.96
2810,   withdraw,v,11352,0.96
2871,   swim,v,11342,0.93
2928,   pretend,v,11330,0.91
2914,   squeeze,v,11280,0.92
2866,   tap,v,11279,0.94
3016,   differ,v,11222,0.88
2883,   relax,v,11202,0.94
2870,   double,v,11195,0.95
2826,   dismiss,v,11160,0.97
2911,   spot,v,11143,0.93
2910,   alter,v,11106,0.94
2836,   respect,v,11083,0.97
2918,   convert,v,10990,0.94
2954,   adapt,v,10987,0.93
2916,   target,v,10960,0.95
2953,   stress,v,10951,0.93
3077,   derive,v,10913,0.87
2875,   free,v,10898,0.97
2901,   practice,v,10858,0.96
2934,   violate,v,10822,0.95
2968,   distribute,v,10747,0.94
2927,   appeal,v,10745,0.96
2924,   load,v,10736,0.96
3219,   shrug,v,10689,0.84
2933,   split,v,10593,0.97
3011,   sustain,v,10550,0.93
2991,   guide,v,10524,0.94
2965,   flee,v,10508,0.96
3064,   calculate,v,10485,0.92
3018,   store,v,10446,0.94
2988,   doubt,v,10352,0.96
3031,   consume,v,10308,0.95
3012,   mount,v,10303,0.96
3117,   rate,v,10244,0.91
3043,   fund,v,10218,0.95
3026,   satisfy,v,10194,0.96
3000,   witness,v,10178,0.97
3059,   educate,v,10171,0.95
3024,   damage,v,10163,0.96
3098,   strengthen,v,10159,0.93
3004,   owe,v,10141,0.97
3173,   assert,v,10125,0.9
3066,   rid,v,10104,0.95
3376,   sigh,v,10099,0.83
3075,   qualify,v,10090,0.95
3083,   resemble,v,10050,0.95
3047,   trace,v,10033,0.96
3086,   surprise,v,10023,0.95
3166,   float,v,9982,0.92
3179,   bite,v,9982,0.91
3074,   waste,v,9956,0.96
3226,   cope,v,9952,0.9
3081,   impress,v,9896,0.96
3167,   undergo,v,9826,0.93
3211,   wander,v,9822,0.92
3132,   explode,v,9821,0.95
3251,   brush,v,9806,0.9
3163,   sue,v,9797,0.94
3145,   absorb,v,9762,0.95
3229,   host,v,9750,0.92
3142,   prompt,v,9741,0.95
3234,   depict,v,9721,0.92
3209,   sense,v,9697,0.93
3210,   dry,v,9678,0.93
3273,   distinguish,v,9664,0.9
3143,   request,v,9619,0.96
3270,   function,v,9570,0.91
3165,   overlook,v,9553,0.96
3200,   appoint,v,9541,0.95
3177,   print,v,9508,0.96
3212,   submit,v,9507,0.95
3197,   suit,v,9477,0.95
3330,   exhibit,v,9459,0.9
3199,   register,v,9389,0.96
3308,   exceed,v,9362,0.92
3215,   anticipate,v,9345,0.96
3360,   reinforce,v,9345,0.9
3254,   crack,v,9334,0.94
3253,   devote,v,9326,0.95
3400,   decrease,v,9291,0.89
3189,   risk,v,9285,0.98
3342,   document,v,9274,0.91
3257,   ease,v,9247,0.95
3377,   attribute,v,9228,0.91
3301,   ban,v,9226,0.94
3290,   portray,v,9202,0.94
3357,   swear,v,9181,0.92
3240,   collapse,v,9163,0.97
3241,   borrow,v,9150,0.97
3399,   highlight,v,9119,0.91
3258,   seize,v,9106,0.97
3321,   crash,v,9101,0.94
3409,   peer,v,9099,0.9
3487,   slam,v,9076,0.88
3459,   integrate,v,9060,0.89
3378,   dare,v,9033,0.93
3344,   recruit,v,9028,0.94
3305,   admire,v,9016,0.96
3293,   persuade,v,8998,0.96
3718,   modify,v,8997,0.8
3279,   correct,v,8988,0.97
3415,   shine,v,8984,0.91
3341,   chase,v,8980,0.95
3381,   cool,v,8980,0.93
3604,   facilitate,v,8946,0.85
3358,   defeat,v,8945,0.94
3411,   rank,v,8879,0.92
3419,   resign,v,8867,0.92
3408,   compose,v,8866,0.93
3413,   regulate,v,8856,0.93
3533,   flash,v,8815,0.89
3451,   hunt,v,8812,0.92
3500,   exclude,v,8780,0.9
3435,   interrupt,v,8757,0.93
3646,   hurry,v,8723,0.85
3514,   excuse,v,8722,0.9
3439,   concern,v,8702,0.93
3499,   park,v,8650,0.92
3525,   fold,v,8630,0.91
3557,   initiate,v,8630,0.9
3513,   pitch,v,8628,0.91
3569,   swallow,v,8583,0.9
3480,   finance,v,8571,0.93
3417,   upset,v,8570,0.96
3483,   beg,v,8542,0.93
3484,   sponsor,v,8542,0.93
3490,   melt,v,8533,0.93
3475,   shop,v,8509,0.94
3454,   echo,v,8477,0.95
3508,   murder,v,8462,0.93
3426,   invent,v,8461,0.96
3464,   rent,v,8446,0.95
3594,   burst,v,8393,0.91
3495,   entitle,v,8381,0.95
3655,   leap,v,8376,0.89
3504,   greet,v,8367,0.94
3574,   restrict,v,8340,0.92
3471,   delay,v,8333,0.96
3570,   motivate,v,8324,0.92
3634,   drift,v,8311,0.9
3549,   tip,v,8300,0.93
3571,   render,v,8288,0.93
3511,   march,v,8267,0.95
3587,   contend,v,8249,0.93
3651,   suck,v,8204,0.91
3606,   rip,v,8164,0.93
3579,   enforce,v,8162,0.94
3613,   top,v,8162,0.92
3529,   reverse,v,8154,0.96
3556,   plead,v,8140,0.95
3695,   administer,v,8135,0.9
3635,   drain,v,8123,0.92
3679,   average,v,8106,0.91
3550,   confuse,v,8045,0.96
3573,   trap,v,8030,0.96
3629,   forgive,v,8003,0.93
3591,   assemble,v,7996,0.95
3630,   warm,v,7973,0.94
3616,   label,v,7969,0.95
3583,   lend,v,7961,0.96
3715,   convict,v,7940,0.91
3600,   speed,v,7936,0.96
3681,   tune,v,7934,0.92
3795,   twist,v,7875,0.89
3601,   protest,v,7871,0.96
3633,   project,v,7871,0.95
3726,   boost,v,7863,0.92
3705,   spill,v,7798,0.93
3624,   consult,v,7778,0.96
3732,   undermine,v,7762,0.92
3671,   dump,v,7689,0.96
3742,   stuff,v,7687,0.93
3676,   execute,v,7671,0.96
3743,   govern,v,7668,0.93
3720,   award,v,7666,0.94
3699,   guard,v,7659,0.95
3704,   trigger,v,7630,0.95
3739,   research,v,7618,0.94
3874,   crawl,v,7596,0.9
3685,   endure,v,7586,0.97
3755,   injure,v,7574,0.94
3753,   accommodate,v,7571,0.94
3738,   survey,v,7556,0.95
3778,   abuse,v,7554,0.94
3702,   await,v,7550,0.96
3832,   click,v,7549,0.92
3694,   behave,v,7546,0.97
3793,   convey,v,7529,0.93
3782,   apologize,v,7485,0.94
3895,   hug,v,7478,0.9
3826,   rebuild,v,7474,0.93
3958,   hesitate,v,7462,0.88
3791,   scatter,v,7461,0.94
3815,   desire,v,7454,0.93
4000,   chop,v,7452,0.87
3827,   bounce,v,7451,0.93
3754,   praise,v,7379,0.96
3844,   scare,v,7367,0.94
3799,   relieve,v,7352,0.95
3954,   slice,v,7316,0.9
3840,   carve,v,7294,0.95
3959,   flip,v,7274,0.91
3843,   ship,v,7264,0.95
3868,   diagnose,v,7255,0.94
3819,   resume,v,7243,0.96
4198,   grin,v,7242,0.83
3952,   blend,v,7238,0.91
3812,   suspend,v,7228,0.96
3837,   dedicate,v,7226,0.96
3947,   advocate,v,7198,0.92
3852,   rescue,v,7187,0.96
3955,   peel,v,7182,0.92
3834,   signal,v,7171,0.97
3920,   endorse,v,7167,0.93
3982,   vanish,v,7154,0.91
3999,   minimize,v,7139,0.91
3939,   picture,v,7103,0.93
4040,   stumble,v,7076,0.91
3891,   frame,v,7063,0.95
3994,   enroll,v,7053,0.92
3985,   trail,v,7049,0.93
4077,   undertake,v,7044,0.9
3938,   program,v,7015,0.95
4127,   slap,v,7015,0.89
3942,   age,v,7005,0.95
3998,   value,v,7000,0.93
3897,   punish,v,6955,0.97
3961,   debate,v,6952,0.95
3951,   cancel,v,6932,0.95
4003,   isolate,v,6920,0.94
4029,   prohibit,v,6896,0.93
4046,   descend,v,6896,0.93
3950,   strip,v,6894,0.96
4070,   scan,v,6879,0.92
3995,   diminish,v,6875,0.95
3943,   volunteer,v,6864,0.97
4154,   tuck,v,6847,0.9
3987,   confess,v,6815,0.96
4048,   hook,v,6800,0.94
4094,   oversee,v,6773,0.93
4004,   pump,v,6765,0.96
4053,   cooperate,v,6763,0.95
4025,   repair,v,6730,0.96
4095,   stem,v,6712,0.94
4089,   spring,v,6689,0.94
4035,   command,v,6688,0.96
4062,   seal,v,6660,0.96
4145,   heat,v,6650,0.93
4136,   tackle,v,6644,0.93
4079,   reserve,v,6636,0.95
4117,   credit,v,6611,0.94
4328,   utilize,v,6607,0.87
4134,   donate,v,6606,0.94
4125,   please,v,6565,0.95
4157,   post,v,6558,0.94
4161,   specialize,v,6538,0.94
4165,   sail,v,6525,0.94
4118,   shock,v,6492,0.96
4208,   conceive,v,6486,0.93
4228,   calm,v,6484,0.92
4205,   rock,v,6473,0.93
4186,   equip,v,6436,0.94
4179,   condemn,v,6418,0.95
4231,   haul,v,6401,0.93
4189,   exchange,v,6394,0.95
4184,   unite,v,6391,0.95
4479,   gaze,v,6379,0.86
4218,   grasp,v,6357,0.94
4278,   star,v,6328,0.92
4433,   shove,v,6327,0.87
4232,   concede,v,6303,0.95
4202,   bless,v,6293,0.96
4225,   position,v,6288,0.95
4207,   root,v,6276,0.96
4237,   ruin,v,6267,0.95
4438,   comprise,v,6258,0.88
4296,   whip,v,6255,0.93
4388,   interact,v,6247,0.9
4412,   foster,v,6237,0.89
4279,   draft,v,6234,0.94
4324,   seat,v,6227,0.92
4300,   boil,v,6180,0.94
4254,   discourage,v,6177,0.96
4658,   blink,v,6160,0.84
4291,   manipulate,v,6159,0.94
4295,   edit,v,6157,0.94
4337,   dissolve,v,6157,0.93
4286,   instruct,v,6117,0.95
4506,   hike,v,6111,0.89
4262,   divorce,v,6086,0.97
4393,   punch,v,6071,0.92
4345,   insert,v,6067,0.94
4370,   scramble,v,6061,0.93
4416,   access,v,6023,0.92
4397,   persist,v,6013,0.93
4373,   decorate,v,5997,0.94
4355,   crush,v,5985,0.95
4585,   pat,v,5968,0.89
4563,   classify,v,5964,0.89
4527,   model,v,5925,0.91
4338,   object,v,5909,0.97
4422,   exploit,v,5909,0.94
4837,   frown,v,5903,0.83
4489,   stimulate,v,5898,0.92
4344,   spell,v,5887,0.97
4469,   disclose,v,5879,0.93
4364,   tolerate,v,5871,0.97
4478,   outline,v,5859,0.93
4415,   cheat,v,5819,0.96
4367,   harm,v,5810,0.97
4374,   sort,v,5809,0.97
4417,   heal,v,5797,0.96
4714,   sprinkle,v,5777,0.88
4402,   shed,v,5769,0.97
4884,   mutter,v,5753,0.84
4584,   boast,v,5731,0.92
4499,   compel,v,5728,0.95
4463,   counter,v,5722,0.96
4548,   distract,v,5720,0.93
4504,   proclaim,v,5716,0.95
4473,   interfere,v,5709,0.96
4482,   uncover,v,5696,0.96
4609,   sneak,v,5690,0.92
4518,   cease,v,5679,0.95
4656,   cling,v,5678,0.91
4486,   reward,v,5676,0.96
4566,   aid,v,5676,0.94
4544,   deploy,v,5674,0.94
4683,   chew,v,5669,0.91
4583,   tighten,v,5665,0.93
4577,   dip,v,5664,0.93
4564,   wound,v,5660,0.94
4560,   invade,v,5653,0.94
4496,   sacrifice,v,5641,0.96
4536,   weaken,v,5640,0.95
4607,   deem,v,5639,0.93
4571,   skip,v,5635,0.94
4698,   scratch,v,5629,0.91
4532,   envision,v,5619,0.96
4526,   shrink,v,5617,0.96
4623,   pile,v,5609,0.93
4670,   rain,v,5597,0.92
4591,   joke,v,5576,0.95
4754,   poke,v,5575,0.9
4519,   inherit,v,5563,0.97
4618,   disturb,v,5532,0.95
4576,   flood,v,5531,0.96
4639,   spare,v,5492,0.95
4664,   plunge,v,5490,0.94
4647,   regret,v,5479,0.95
4681,   thrive,v,5472,0.94
4986,   kneel,v,5467,0.86
4668,   color,v,5465,0.95
4673,   steer,v,5452,0.95
4689,   comply,v,5452,0.94
4641,   cure,v,5444,0.96
4677,   cheer,v,5442,0.95
4765,   enact,v,5441,0.92
4708,   strain,v,5435,0.94
4590,   unfold,v,5420,0.97
4793,   circle,v,5401,0.91
4911,   specify,v,5379,0.89
4755,   opt,v,5371,0.93
4802,   screw,v,5361,0.92
4927,   straighten,v,5352,0.89
4915,   articulate,v,5350,0.89
4762,   soar,v,5344,0.94
4693,   transport,v,5336,0.96
4826,   pound,v,5327,0.92
4707,   compromise,v,5322,0.96
4940,   bow,v,5293,0.9
4781,   remark,v,5289,0.94
4984,   spit,v,5286,0.89
4814,   drill,v,5279,0.93
4869,   bomb,v,5275,0.92
4766,   round,v,5247,0.95
4810,   battle,v,5240,0.94
4727,   arm,v,5232,0.97
4859,   update,v,5227,0.93
4819,   authorize,v,5209,0.94
4795,   prevail,v,5207,0.95
4786,   exhaust,v,5204,0.95
4890,   soak,v,5186,0.93
4877,   fish,v,5183,0.93
4757,   trouble,v,5177,0.97
4750,   forbid,v,5167,0.97
4898,   coordinate,v,5152,0.93
4853,   broadcast,v,5138,0.95
4923,   swell,v,5125,0.93
4893,   transmit,v,5117,0.94
4975,   trim,v,5113,0.92
4925,   soften,v,5112,0.93
4980,   drown,v,5097,0.92
4997,   kid,v,5094,0.92
4914,   crowd,v,5083,0.94
4894,   screen,v,5079,0.95
4860,   spark,v,5071,0.96
4985,   harvest,v,5065,0.93
4867,   preach,v,5063,0.96
4872,   provoke,v,5063,0.95
4838,   regain,v,5041,0.97
4886,   depart,v,5035,0.96
4858,   contemplate,v,5027,0.96
4947,   weave,v,5015,0.94
4864,   speculate,v,5012,0.97
4926,   photograph,v,5006,0.95
4856,   overwhelm,v,4976,0.97
4953,   copy,v,4970,0.95
4989,   dictate,v,4935,0.95
4913,   frustrate,v,4933,0.97
4977,   accelerate,v,4923,0.96
